Alpha,8.0,4.0,2.0,1.0,0.5,0.25,0.125,0.0625,0.03125
Chain,3.6625,1.95625,0.925,0.475,0.2125,0.1,0.03125,0.01875,0.00625
Open Addressing, 1.7625, 3.15625, 4.65, 1.925, 0.5, 0.1375, 0.04375, 0.04375, 0.0375
